,accuracy,activation1,activation2,neurons_1,neurons_2
0,0.764525993883792,selu,selu,30,3
1,2.90519877675841,selu,selu,30,5
2,0.3058103975535168,selu,selu,30,10
3,0.3058103975535168,selu,selu,40,3
4,0.45871559633027525,selu,selu,40,5
5,0.6116207951070336,selu,selu,40,10
6,0.764525993883792,selu,selu,60,3
7,0.6116207951070336,selu,selu,60,5
8,0.6116207951070336,selu,selu,60,10
9,0.9174311926605505,selu,relu,30,3
10,1.2232415902140672,selu,relu,30,5
11,0.45871559633027525,selu,relu,30,10
12,2.599388379204893,selu,relu,40,3
13,3.3639143730886847,selu,relu,40,5
14,0.3058103975535168,selu,relu,40,10
15,2.293577981651376,selu,relu,60,3
16,2.7522935779816518,selu,relu,60,5
17,3.211009174311927,selu,relu,60,10
18,0.6116207951070336,selu,linear,30,3
19,0.3058103975535168,selu,linear,30,5
20,0.6116207951070336,selu,linear,30,10
21,0.6116207951070336,selu,linear,40,3
22,0.6116207951070336,selu,linear,40,5
23,0.3058103975535168,selu,linear,40,10
24,0.3058103975535168,selu,linear,60,3
25,0.45871559633027525,selu,linear,60,5
26,0.3058103975535168,selu,linear,60,10
27,1.3761467889908259,selu,sigmoid,30,3
28,1.9877675840978593,selu,sigmoid,30,5
29,1.834862385321101,selu,sigmoid,30,10
30,0.6116207951070336,selu,sigmoid,40,3
31,1.3761467889908259,selu,sigmoid,40,5
32,0.45871559633027525,selu,sigmoid,40,10
33,0.3058103975535168,selu,sigmoid,60,3
34,1.834862385321101,selu,sigmoid,60,5
35,2.1406727828746175,selu,sigmoid,60,10
36,1.3761467889908259,relu,selu,30,3
37,0.3058103975535168,relu,selu,30,5
38,0.764525993883792,relu,selu,30,10
39,0.1529051987767584,relu,selu,40,3
40,0.45871559633027525,relu,selu,40,5
41,0.45871559633027525,relu,selu,40,10
42,2.293577981651376,relu,selu,60,3
43,0.764525993883792,relu,selu,60,5
44,0.6116207951070336,relu,selu,60,10
45,0.6116207951070336,relu,relu,30,3
46,1.0703363914373087,relu,relu,30,5
47,0.764525993883792,relu,relu,30,10
48,0.9174311926605505,relu,relu,40,3
49,0.764525993883792,relu,relu,40,5
50,0.6116207951070336,relu,relu,40,10
51,1.3761467889908259,relu,relu,60,3
52,1.0703363914373087,relu,relu,60,5
53,3.5168195718654434,relu,relu,60,10
54,2.1406727828746175,relu,linear,30,3
55,1.9877675840978593,relu,linear,30,5
56,1.834862385321101,relu,linear,30,10
57,2.1406727828746175,relu,linear,40,3
58,2.4464831804281344,relu,linear,40,5
59,0.764525993883792,relu,linear,40,10
60,1.834862385321101,relu,linear,60,3
61,2.90519877675841,relu,linear,60,5
62,1.9877675840978593,relu,linear,60,10
63,0.1529051987767584,relu,sigmoid,30,3
64,0.3058103975535168,relu,sigmoid,30,5
65,1.834862385321101,relu,sigmoid,30,10
66,0.1529051987767584,relu,sigmoid,40,3
67,1.2232415902140672,relu,sigmoid,40,5
68,0.9174311926605505,relu,sigmoid,40,10
69,0.1529051987767584,relu,sigmoid,60,3
70,2.7522935779816518,relu,sigmoid,60,5
71,0.45871559633027525,relu,sigmoid,60,10
72,0.764525993883792,linear,selu,30,3
73,0.1529051987767584,linear,selu,30,5
74,0.1529051987767584,linear,selu,30,10
75,0.6116207951070336,linear,selu,40,3
76,0.1529051987767584,linear,selu,40,5
77,0.3058103975535168,linear,selu,40,10
78,0.9174311926605505,linear,selu,60,3
79,0.764525993883792,linear,selu,60,5
80,0.45871559633027525,linear,selu,60,10
81,1.0703363914373087,linear,relu,30,3
82,0.9174311926605505,linear,relu,30,5
83,3.669724770642202,linear,relu,30,10
84,0.0,linear,relu,40,3
85,1.0703363914373087,linear,relu,40,5
86,0.3058103975535168,linear,relu,40,10
87,0.3058103975535168,linear,relu,60,3
88,0.45871559633027525,linear,relu,60,5
89,0.0,linear,relu,60,10
90,0.0,linear,linear,30,3
91,0.1529051987767584,linear,linear,30,5
92,0.0,linear,linear,30,10
93,0.3058103975535168,linear,linear,40,3
94,0.0,linear,linear,40,5
95,0.0,linear,linear,40,10
96,0.0,linear,linear,60,3
97,0.0,linear,linear,60,5
98,0.0,linear,linear,60,10
99,1.6819571865443423,linear,sigmoid,30,3
100,1.3761467889908259,linear,sigmoid,30,5
101,0.764525993883792,linear,sigmoid,30,10
102,1.3761467889908259,linear,sigmoid,40,3
103,0.6116207951070336,linear,sigmoid,40,5
104,0.1529051987767584,linear,sigmoid,40,10
105,0.9174311926605505,linear,sigmoid,60,3
106,2.293577981651376,linear,sigmoid,60,5
107,1.834862385321101,linear,sigmoid,60,10
108,0.764525993883792,sigmoid,selu,30,3
109,1.6819571865443423,sigmoid,selu,30,5
110,0.6116207951070336,sigmoid,selu,30,10
111,3.5168195718654434,sigmoid,selu,40,3
112,1.6819571865443423,sigmoid,selu,40,5
113,1.834862385321101,sigmoid,selu,40,10
114,2.1406727828746175,sigmoid,selu,60,3
115,1.834862385321101,sigmoid,selu,60,5
116,2.1406727828746175,sigmoid,selu,60,10
117,0.0,sigmoid,relu,30,3
118,0.0,sigmoid,relu,30,5
119,2.7522935779816518,sigmoid,relu,30,10
120,0.0,sigmoid,relu,40,3
121,1.529051987767584,sigmoid,relu,40,5
122,0.3058103975535168,sigmoid,relu,40,10
123,0.0,sigmoid,relu,60,3
124,0.0,sigmoid,relu,60,5
125,3.669724770642202,sigmoid,relu,60,10
126,1.529051987767584,sigmoid,linear,30,3
127,3.211009174311927,sigmoid,linear,30,5
128,0.6116207951070336,sigmoid,linear,30,10
129,1.9877675840978593,sigmoid,linear,40,3
130,1.0703363914373087,sigmoid,linear,40,5
131,1.2232415902140672,sigmoid,linear,40,10
132,1.3761467889908259,sigmoid,linear,60,3
133,2.4464831804281344,sigmoid,linear,60,5
134,2.90519877675841,sigmoid,linear,60,10
135,3.058103975535168,sigmoid,sigmoid,30,3
136,1.529051987767584,sigmoid,sigmoid,30,5
137,0.9174311926605505,sigmoid,sigmoid,30,10
138,1.2232415902140672,sigmoid,sigmoid,40,3
139,2.7522935779816518,sigmoid,sigmoid,40,5
140,1.9877675840978593,sigmoid,sigmoid,40,10
141,3.3639143730886847,sigmoid,sigmoid,60,3
142,1.834862385321101,sigmoid,sigmoid,60,5
143,1.6819571865443423,sigmoid,sigmoid,60,10
