,accuracy,neurons_1,neurons_2,neurons_3,neurons_4
0,0.0,30,20,7,3
1,0.0,30,20,7,5
2,0.0,30,20,10,3
3,0.0,30,20,10,5
4,0.0,30,20,15,3
5,0.0,30,20,15,5
6,0.0,30,30,7,3
7,0.0,30,30,7,5
8,0.0,30,30,10,3
9,0.0,30,30,10,5
10,0.0,30,30,15,3
11,0.0,30,30,15,5
12,0.0,30,40,7,3
13,0.0,30,40,7,5
14,0.0,30,40,10,3
15,0.0,30,40,10,5
16,0.0,30,40,15,3
17,0.0,30,40,15,5
18,0.0,60,20,7,3
19,0.0,60,20,7,5
20,0.0,60,20,10,3
21,0.0,60,20,10,5
22,0.0,60,20,15,3
23,0.0,60,20,15,5
24,0.0,60,30,7,3
25,0.0,60,30,7,5
26,0.0,60,30,10,3
27,0.0,60,30,10,5
28,0.0,60,30,15,3
29,0.0,60,30,15,5
30,0.0,60,40,7,3
31,0.0,60,40,7,5
32,0.0,60,40,10,3
33,0.0,60,40,10,5
34,0.0,60,40,15,3
35,0.0,60,40,15,5
