,accuracy,l2_regulizer,neurons_1,neurons_2
0,0.45871559633027525,0.01,30,3
1,0.3058103975535168,0.01,30,5
2,2.1406727828746175,0.01,30,10
3,0.0,0.01,40,3
4,0.0,0.01,40,5
5,2.7522935779816518,0.01,40,10
6,1.2232415902140672,0.01,60,3
7,0.9174311926605505,0.01,60,5
8,2.4464831804281344,0.01,60,10
9,0.1529051987767584,0.1,30,3
10,0.45871559633027525,0.1,30,5
11,0.45871559633027525,0.1,30,10
12,0.45871559633027525,0.1,40,3
13,1.3761467889908259,0.1,40,5
14,0.1529051987767584,0.1,40,10
15,0.6116207951070336,0.1,60,3
16,0.6116207951070336,0.1,60,5
17,1.0703363914373087,0.1,60,10
18,0.0,0.2,30,3
19,0.3058103975535168,0.2,30,5
20,2.1406727828746175,0.2,30,10
21,0.0,0.2,40,3
22,0.0,0.2,40,5
23,0.3058103975535168,0.2,40,10
24,0.0,0.2,60,3
25,0.1529051987767584,0.2,60,5
26,0.1529051987767584,0.2,60,10
27,0.3058103975535168,0.5,30,3
28,0.764525993883792,0.5,30,5
29,1.834862385321101,0.5,30,10
30,0.0,0.5,40,3
31,0.1529051987767584,0.5,40,5
32,0.45871559633027525,0.5,40,10
33,0.0,0.5,60,3
34,0.9174311926605505,0.5,60,5
35,1.0703363914373087,0.5,60,10
